,Title,Price,StarRating
0,A Light in the Attic,51.77,Three
1,Tipping the Velvet,53.74,One
2,Soumission,50.1,One
3,Sharp Objects,47.82,Four
4,Sapiens: A Brief History of Humankind,54.23,Five
5,The Requiem Red,22.65,One
6,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
9,The Black Maria,52.15,One
10,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
11,Shakespeare's Sonnets,20.66,Four
12,Set Me Free,17.46,Five
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
14,Rip it Up and Start Again,35.02,Five
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
16,Olio,23.88,One
17,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
18,Libertarianism for Beginners,51.33,Two
19,It's Only the Himalayas,45.17,Two
20,In Her Wake,12.84,One
21,How Music Works,37.32,Two
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three
23,Chase Me (Paris Nights #2),25.27,Five
24,Black Dust,34.53,Five
25,Birdsong: A Story in Pictures,54.64,Three
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three
27,Aladdin and His Wonderful Lamp,53.13,Three
28,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,Five
29,Wall and Piece,44.18,Four
30,The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three
32,The Elephant Tree,23.82,Five
33,The Bear and the Piano,36.89,One
34,Sophie's World,15.94,Five
35,Penny Maybe,33.29,Three
36,Maude (1883-1993):She Grew Up with the country,18.02,Two
37,"In a Dark, Dark Wood",19.63,One
38,Behind Closed Doors,52.22,Four
39,You can't bury them all: Poems,33.63,Two
40,Slow States of Collapse: Poems,57.31,Three
41,Reasons to Stay Alive,26.41,Two
42,Private Paris (Private #10),47.61,Five
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five
44,Without Borders (Wanderlove #1),45.07,Two
45,When We Collided,31.77,One
46,"We Love You, Charlie Freeman",50.27,Five
47,Untitled Collection: Sabbath Poems 2014,14.27,Four
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four
49,Unicorn Tracks,18.78,Three
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three
53,This One Summer,19.49,Four
54,Thirst,17.27,Five
55,The Torch Is Passed: A Harding Family Story,19.09,One
56,The Secret of Dreadwillow Carse,56.13,One
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One
58,The Past Never Ends,56.5,Four
59,The Natural History of Us (The Fine Art of Pretending #2),45.22,Three
60,The Nameless City (The Nameless City #1),38.16,Four
61,The Murder That Never Was (Forensic Instincts #5),54.11,Three
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One
68,The Death of Humanity: and the Case for Life,58.11,Four
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three
70,The Art Forger,40.76,Three
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four
74,Soul Reader,39.58,Two
75,Security,39.25,Two
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two
78,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two
